Pclass,Age,female,male
3,22.0,False,True
1,38.0,True,False
3,26.0,True,False
1,35.0,True,False
3,35.0,False,True
3,29.69911764705882,False,True
1,54.0,False,True
3,2.0,False,True
3,27.0,True,False
2,14.0,True,False
3,4.0,True,False
1,58.0,True,False
3,20.0,False,True
3,39.0,False,True
3,14.0,True,False
2,55.0,True,False
3,2.0,False,True
2,29.69911764705882,False,True
3,31.0,True,False
3,29.69911764705882,True,False
2,35.0,False,True
2,34.0,False,True
3,15.0,True,False
1,28.0,False,True
3,8.0,True,False
3,38.0,True,False
3,29.69911764705882,False,True
1,19.0,False,True
3,29.69911764705882,True,False
3,29.69911764705882,False,True
1,40.0,False,True
1,29.69911764705882,True,False
3,29.69911764705882,True,False
2,66.0,False,True
1,28.0,False,True
1,42.0,False,True
3,29.69911764705882,False,True
3,21.0,False,True
3,18.0,True,False
3,14.0,True,False
3,40.0,True,False
2,27.0,True,False
3,29.69911764705882,False,True
2,3.0,True,False
3,19.0,True,False
3,29.69911764705882,False,True
3,29.69911764705882,False,True
3,29.69911764705882,True,False
3,29.69911764705882,False,True
3,18.0,True,False
3,7.0,False,True
3,21.0,False,True
1,49.0,True,False
2,29.0,True,False
1,65.0,False,True
1,29.69911764705882,False,True
2,21.0,True,False
3,28.5,False,True
2,5.0,True,False
3,11.0,False,True
3,22.0,False,True
1,38.0,True,False
1,45.0,False,True
3,4.0,False,True
1,29.69911764705882,False,True
3,29.69911764705882,False,True
2,29.0,True,False
3,19.0,False,True
3,17.0,True,False
3,26.0,False,True
2,32.0,False,True
3,16.0,True,False
2,21.0,False,True
3,26.0,False,True
3,32.0,False,True
3,25.0,False,True
3,29.69911764705882,False,True
3,29.69911764705882,False,True
2,0.83,False,True
3,30.0,True,False
3,22.0,False,True
3,29.0,False,True
3,29.69911764705882,True,False
1,28.0,False,True
2,17.0,True,False
3,33.0,True,False
3,16.0,False,True
3,29.69911764705882,False,True
1,23.0,True,False
3,24.0,False,True
3,29.0,False,True
3,20.0,False,True
1,46.0,False,True
3,26.0,False,True
3,59.0,False,True
3,29.69911764705882,False,True
1,71.0,False,True
1,23.0,False,True
2,34.0,True,False
2,34.0,False,True
3,28.0,True,False
3,29.69911764705882,False,True
1,21.0,False,True
3,33.0,False,True
3,37.0,False,True
3,28.0,False,True
3,21.0,True,False
3,29.69911764705882,False,True
3,38.0,False,True
3,29.69911764705882,True,False
1,47.0,False,True
3,14.5,True,False
